businessunit	facility	latitude	longitude	timezone	_machinecount	_atmcount	_servercount	_workstationcount	_ip_min	_ip_max	_ip_min_atms	_ip_max_atms	_ip_min_servers	_ip_max_servers	_ip_min_workstations	_ip_max_workstations
region-1	branch187	43.814896	-136.54097	-9	96	9	39	48	172.11.28.2	172.11.30.10	172.11.30.2	172.11.30.10	172.11.28.2	172.11.28.40	172.11.29.2	172.11.29.49
region-1	branch188	41.134922	-133.22485	-8	98	9	41	48	172.11.31.2	172.11.33.10	172.11.33.2	172.11.33.10	172.11.31.2	172.11.31.42	172.11.32.2	172.11.32.49
region-1	branch189	38.826595	-141.84369	-9	98	9	38	51	172.11.34.2	172.11.36.10	172.11.36.2	172.11.36.10	172.11.34.2	172.11.34.39	172.11.35.2	172.11.35.52
region-1	branch190	35.370796	-138.43436	-9	99	9	40	50	172.11.37.2	172.11.39.10	172.11.39.2	172.11.39.10	172.11.37.2	172.11.37.41	172.11.38.2	172.11.38.51
region-1	branch191	36.634125	-136.4506	-9	100	9	40	51	172.11.40.2	172.11.42.10	172.11.42.2	172.11.42.10	172.11.40.2	172.11.40.41	172.11.41.2	172.11.41.52
region-1	branch192	39.744118	-134.82832	-8	98	9	38	51	172.11.43.2	172.11.45.10	172.11.45.2	172.11.45.10	172.11.43.2	172.11.43.39	172.11.44.2	172.11.44.52
region-1	branch193	35.19553	-137.93709	-9	100	10	39	51	172.11.46.2	172.11.48.11	172.11.48.2	172.11.48.11	172.11.46.2	172.11.46.40	172.11.47.2	172.11.47.52
region-1	branch194	37.310974	-131.49173	-8	99	10	41	48	172.11.49.2	172.11.51.11	172.11.51.2	172.11.51.11	172.11.49.2	172.11.49.42	172.11.50.2	172.11.50.49
region-1	branch195	43.455795	-130.47539	-8	98	10	40	48	172.11.52.2	172.11.54.11	172.11.54.2	172.11.54.11	172.11.52.2	172.11.52.41	172.11.53.2	172.11.53.49
region-1	branch196	46.718098	-141.5916	-9	100	10	41	49	172.11.55.2	172.11.57.11	172.11.57.2	172.11.57.11	172.11.55.2	172.11.55.42	172.11.56.2	172.11.56.50
region-1	branch197	47.39245	-131.50163	-8	95	9	38	48	172.11.58.2	172.11.60.10	172.11.60.2	172.11.60.10	172.11.58.2	172.11.58.39	172.11.59.2	172.11.59.49
region-1	branch198	41.468334	-138.92632	-9	99	10	39	50	172.11.61.2	172.11.63.11	172.11.63.2	172.11.63.11	172.11.61.2	172.11.61.40	172.11.62.2	172.11.62.51
region-1	branch199	37.225853	-133.94801	-8	99	9	40	50	172.11.64.2	172.11.66.10	172.11.66.2	172.11.66.10	172.11.64.2	172.11.64.41	172.11.65.2	172.11.65.51
region-1	branch200	37.662575	-130.91286	-8	97	9	38	50	172.11.67.2	172.11.69.10	172.11.69.2	172.11.69.10	172.11.67.2	172.11.67.39	172.11.68.2	172.11.68.51
region-2	branch1	27.058043	-143.03445	-9	101	10	40	51	172.11.70.2	172.11.72.11	172.11.72.2	172.11.72.11	172.11.70.2	172.11.70.41	172.11.71.2	172.11.71.52
region-2	branch2	19.42961	-152.0989	-10	97	9	38	50	172.11.73.2	172.11.75.10	172.11.75.2	172.11.75.10	172.11.73.2	172.11.73.39	172.11.74.2	172.11.74.51
region-2	branch3	22.932734	-143.13412	-9	98	10	40	48	172.11.76.2	172.11.78.11	172.11.78.2	172.11.78.11	172.11.76.2	172.11.76.41	172.11.77.2	172.11.77.49
region-2	branch4	17.93745	-154.53899	-10	101	9	41	51	172.11.79.2	172.11.81.10	172.11.81.2	172.11.81.10	172.11.79.2	172.11.79.42	172.11.80.2	172.11.80.52
region-2	branch5	23.544775	-150.57088	-10	96	9	38	49	172.11.82.2	172.11.84.10	172.11.84.2	172.11.84.10	172.11.82.2	172.11.82.39	172.11.83.2	172.11.83.50
region-2	branch6	27.98037	-147.48132	-9	99	10	40	49	172.11.85.2	172.11.87.11	172.11.87.2	172.11.87.11	172.11.85.2	172.11.85.41	172.11.86.2	172.11.86.50
region-2	branch7	24.923338	-144.40489	-9	98	9	40	49	172.11.88.2	172.11.90.10	172.11.90.2	172.11.90.10	172.11.88.2	172.11.88.41	172.11.89.2	172.11.89.50
region-2	branch8	22.194908	-144.60764	-9	99	9	39	51	172.11.91.2	172.11.93.10	172.11.93.2	172.11.93.10	172.11.91.2	172.11.91.40	172.11.92.2	172.11.92.52
region-2	branch9	20.245737	-152.45233	-10	98	9	41	48	172.11.94.2	172.11.96.10	172.11.96.2	172.11.96.10	172.11.94.2	172.11.94.42	172.11.95.2	172.11.95.49
region-2	branch10	27.772125	-149.60645	-9	96	9	38	49	172.11.97.2	172.11.99.10	172.11.99.2	172.11.99.10	172.11.97.2	172.11.97.39	172.11.98.2	172.11.98.50
region-2	branch11	18.84595	-153.63293	-10	100	10	39	51	172.11.100.2	172.11.102.11	172.11.102.2	172.11.102.11	172.11.100.2	172.11.100.40	172.11.101.2	172.11.101.52
region-2	branch12	21.17914	-153.86183	-10	100	10	41	49	172.11.103.2	172.11.105.11	172.11.105.2	172.11.105.11	172.11.103.2	172.11.103.42	172.11.104.2	172.11.104.50
region-2	branch13	31.600708	-149.46051	-9	99	10	39	50	172.11.106.2	172.11.108.11	172.11.108.2	172.11.108.11	172.11.106.2	172.11.106.40	172.11.107.2	172.11.107.51
region-2	branch14	27.182848	-149.19727	-9	99	10	40	49	172.11.109.2	172.11.111.11	172.11.111.2	172.11.111.11	172.11.109.2	172.11.109.41	172.11.110.2	172.11.110.50
region-2	branch15	20.999176	-152.7379	-10	97	10	39	48	172.11.112.2	172.11.114.11	172.11.114.2	172.11.114.11	172.11.112.2	172.11.112.40	172.11.113.2	172.11.113.49
region-2	branch16	25.13391	-143.31529	-9	98	9	38	51	172.11.115.2	172.11.117.10	172.11.117.2	172.11.117.10	172.11.115.2	172.11.115.39	172.11.116.2	172.11.116.52
region-2	branch17	22.639578	-151.57478	-10	100	10	39	51	172.11.118.2	172.11.120.11	172.11.120.2	172.11.120.11	172.11.118.2	172.11.118.40	172.11.119.2	172.11.119.52
region-2	branch18	17.01959	-148.80334	-9	99	10	39	50	172.11.121.2	172.11.123.11	172.11.123.2	172.11.123.11	172.11.121.2	172.11.121.40	172.11.122.2	172.11.122.51
region-2	branch19	24.369778	-149.99857	-9	96	9	39	48	172.11.124.2	172.11.126.10	172.11.126.2	172.11.126.10	172.11.124.2	172.11.124.40	172.11.125.2	172.11.125.49
region-2	branch63	23.237787	-148.13506	-9	97	9	38	50	172.12.2.2	172.12.4.10	172.12.4.2	172.12.4.10	172.12.2.2	172.12.2.39	172.12.3.2	172.12.3.51
region-2	branch64	18.944372	-151.04831	-10	102	10	41	51	172.12.5.2	172.12.7.11	172.12.7.2	172.12.7.11	172.12.5.2	172.12.5.42	172.12.6.2	172.12.6.52
region-2	branch65	31.933376	-149.0619	-9	101	10	40	51	172.12.8.2	172.12.10.11	172.12.10.2	172.12.10.11	172.12.8.2	172.12.8.41	172.12.9.2	172.12.9.52
region-2	branch66	24.910929	-142.7582	-9	98	9	41	48	172.12.11.2	172.12.13.10	172.12.13.2	172.12.13.10	172.12.11.2	172.12.11.42	172.12.12.2	172.12.12.49
region-2	branch67	22.503029	-147.87805	-9	98	10	38	50	172.12.14.2	172.12.16.11	172.12.16.2	172.12.16.11	172.12.14.2	172.12.14.39	172.12.15.2	172.12.15.51
region-2	branch68	19.225119	-150.70412	-10	96	10	38	48	172.12.17.2	172.12.19.11	172.12.19.2	172.12.19.11	172.12.17.2	172.12.17.39	172.12.18.2	172.12.18.49
region-2	branch69	19.274118	-142.43097	-9	100	9	41	50	172.12.20.2	172.12.22.10	172.12.22.2	172.12.22.10	172.12.20.2	172.12.20.42	172.12.21.2	172.12.21.51
region-2	branch70	31.42288	-153.12274	-10	100	9	40	51	172.12.23.2	172.12.25.10	172.12.25.2	172.12.25.10	172.12.23.2	172.12.23.41	172.12.24.2	172.12.24.52
region-2	branch71	24.087458	-153.4876	-10	97	10	38	49	172.12.26.2	172.12.28.11	172.12.28.2	172.12.28.11	172.12.26.2	172.12.26.39	172.12.27.2	172.12.27.50
region-2	branch72	30.77553	-153.89673	-10	100	9	41	50	172.12.29.2	172.12.31.10	172.12.31.2	172.12.31.10	172.12.29.2	172.12.29.42	172.12.30.2	172.12.30.51
region-2	branch73	22.817778	-143.77513	-9	98	10	38	50	172.12.32.2	172.12.34.11	172.12.34.2	172.12.34.11	172.12.32.2	172.12.32.39	172.12.33.2	172.12.33.51
region-2	branch74	28.595575	-151.79709	-10	99	10	40	49	172.12.35.2	172.12.37.11	172.12.37.2	172.12.37.11	172.12.35.2	172.12.35.41	172.12.36.2	172.12.36.50
region-2	branch75	21.52719	-142.25804	-9	100	10	39	51	172.12.38.2	172.12.40.11	172.12.40.2	172.12.40.11	172.12.38.2	172.12.38.40	172.12.39.2	172.12.39.52
region-2	branch76	24.063335	-153.26303	-10	101	9	41	51	172.12.41.2	172.12.43.10	172.12.43.2	172.12.43.10	172.12.41.2	172.12.41.42	172.12.42.2	172.12.42.52
region-2	branch77	21.720295	-144.09245	-9	99	9	41	49	172.12.44.2	172.12.46.10	172.12.46.2	172.12.46.10	172.12.44.2	172.12.44.42	172.12.45.2	172.12.45.50
region-2	branch78	27.366692	-144.5681	-9	99	10	41	48	172.12.47.2	172.12.49.11	172.12.49.2	172.12.49.11	172.12.47.2	172.12.47.42	172.12.48.2	172.12.48.49
region-2	branch79	22.512934	-154.6626	-10	97	10	39	48	172.12.50.2	172.12.52.11	172.12.52.2	172.12.52.11	172.12.50.2	172.12.50.40	172.12.51.2	172.12.51.49
region-2	branch80	25.153082	-143.8568	-9	96	9	38	49	172.12.53.2	172.12.55.10	172.12.55.2	172.12.55.10	172.12.53.2	172.12.53.39	172.12.54.2	172.12.54.50
region-2	branch81	30.592012	-146.16203	-9	98	10	39	49	172.12.56.2	172.12.58.11	172.12.58.2	172.12.58.11	172.12.56.2	172.12.56.40	172.12.57.2	172.12.57.50
region-2	branch82	26.678064	-150.766	-10	96	10	38	48	172.12.59.2	172.12.61.11	172.12.61.2	172.12.61.11	172.12.59.2	172.12.59.39	172.12.60.2	172.12.60.49
region-2	branch83	26.734636	-154.33324	-10	100	9	41	50	172.12.62.2	172.12.64.10	172.12.64.2	172.12.64.10	172.12.62.2	172.12.62.42	172.12.63.2	172.12.63.51
region-2	branch84	26.755867	-145.16814	-9	97	10	38	49	172.12.65.2	172.12.67.11	172.12.67.2	172.12.67.11	172.12.65.2	172.12.65.39	172.12.66.2	172.12.66.50
region-2	branch85	24.676643	-142.22484	-9	100	9	40	51	172.12.68.2	172.12.70.10	172.12.70.2	172.12.70.10	172.12.68.2	172.12.68.41	172.12.69.2	172.12.69.52
region-2	branch86	20.52544	-151.99023	-10	97	9	40	48	172.12.71.2	172.12.73.10	172.12.73.2	172.12.73.10	172.12.71.2	172.12.71.41	172.12.72.2	172.12.72.49
